in 	 tar 
866 	 2 
867 	 5 
868 	 3 
869 	 3 
870 	 8 
871 	 6 
872 	 5 
873 	 3 
874 	 3 
875 	 3 
876 	 4 
877 	 6 
878 	 6 
879 	 1 
880 	 3 
881 	 4 
882 	 3 
883 	 4 
884 	 6 
885 	 7 
886 	 9 
887 	 6 
888 	 9 
889 	 12 
890 	 7 
891 	 6 
892 	 9 
893 	 11 
894 	 9 
895 	 8 
896 	 6 
897 	 9 
898 	 7 
899 	 13 
900 	 14 
901 	 12 
902 	 9 
903 	 9 
904 	 11 
905 	 10 
906 	 10 
907 	 7 
908 	 9 
909 	 10 
910 	 5 
911 	 5 
912 	 4 
913 	 19 
914 	 1 
915 	 17 
916 	 7 
917 	 13 
918 	 7 
919 	 10 
920 	 6 
921 	 6 
922 	 2 
923 	 9 
924 	 4 
925 	 2 
926 	 9 
927 	 4 
928 	 7 
929 	 8 
930 	 6 
931 	 9 
932 	 8 
933 	 7 
934 	 3 
935 	 7 
936 	 5 
937 	 4 
938 	 6 
939 	 6 
940 	 4 
941 	 4 
942 	 4 
943 	 3 
944 	 2 
945 	 9 
946 	 13 
947 	 13 
948 	 7 
949 	 7 
950 	 7 
951 	 4 
952 	 8 
953 	 1 
954 	 5 
955 	 4 
956 	 3 
957 	 1 
958 	 2 
959 	 5 
960 	 10 
961 	 6 
962 	 3 
963 	 2 
964 	 3 
965 	 5 
966 	 3 
967 	 4 
968 	 10 
969 	 4 
970 	 2 
971 	 2 
972 	 3 
973 	 5 
974 	 1 
975 	 4 
976 	 6 
977 	 3 
978 	 1 
979 	 13 
980 	 2 
981 	 3 
982 	 4 
983 	 2 
984 	 2 
985 	 4 
986 	 2 
987 	 5 
988 	 8 
989 	 6 
990 	 5 
991 	 2 
992 	 6 
993 	 3 
994 	 4 
995 	 3 
996 	 5 
997 	 3 
998 	 4 
999 	 5 
1000 	 4 
1001 	 6 
1002 	 1 
1003 	 3 
1004 	 3 
1005 	 1 
1006 	 9 
1007 	 4 
1008 	 9 
1009 	 6 
1010 	 4 
1011 	 5 
1012 	 2 
1013 	 1 
1014 	 5 
1015 	 2 
1016 	 5 
1017 	 3 
1018 	 8 
1019 	 6 
1020 	 20 
1021 	 8 
1022 	 0 
1023 	 3 
1024 	 1 
1025 	 2 
1026 	 2 
1027 	 2 
1028 	 4 
1029 	 1 
1030 	 2 
1031 	 1 
1032 	 0 
1033 	 2 
1034 	 4 
1035 	 0 
1036 	 3 
1037 	 10 
1038 	 1 
1039 	 1 
1040 	 2 
1041 	 1 
1042 	 4 
1043 	 8 
1044 	 3 
1045 	 1 
1046 	 0 
1047 	 1 
1048 	 1 
1049 	 2 
1050 	 0 
